nome,nivel,inicio,fim,instituicao,pagamento
Felipe Rech Meneguzzi, PQ-2, 01/03/2020, 28/02/2023, PUCRS, Em folha de pagamento
Fernando Jose Castor de Lima Filho, PQ-2, 01/03/2018, 28/02/2021, UFPE, Em folha de pagamento
Fernando Jose Von Zuben, PQ-1B, 01/03/2019, 28/02/2023, UNICAMP, Em folha de pagamento
Fernando Magno Quintao Pereira, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Flavia Coimbra Delicato, PQ-1D, 01/03/2019, 28/02/2023, UFRJ, Em folha de pagamento
Flavia Maria Santoro, PQ-2, 01/03/2018, 28/02/2021, UNIRIO, Em folha de pagamento
Flavio Keidi Miyazawa, PQ-1B, 01/03/2019, 28/02/2023, UNICAMP, Em folha de pagamento
Francesco Corona, PQ-2, 01/03/2019, 28/02/2022, UFC, Em folha de pagamento
Francisco de Assis Tenorio de Carvalho, PQ-1B, 01/03/2014, 28/02/2021, UFPE, Em folha de pagamento
Francisco Madeiro Bernardino Junior, PQ-2, 01/03/2019, 28/02/2022, UPE, Em folha de pagamento
Genaina Nunes Rodrigues, PQ-2, 01/03/2019, 28/02/2022, UnB, Em folha de pagamento
George Darmiton da Cunha Cavalcanti, PQ-1D, 01/03/2017, 28/02/2021, UFPE, Em folha de pagamento
George Luiz Medeiros Teodoro, PQ-2, 01/03/2018, 28/02/2021, UnB, Em folha de pagamento
Geraldo Braz Junior, PQ-2, 01/03/2019, 28/02/2022, UFMA, Em folha de pagamento
Geraldo Robson Mateus, PQ-1A, 01/03/2018, 28/02/2023, UFMG, Em folha de pagamento
Gerberth Adin Ramirez Rivera, PQ-2, 01/03/2018, 28/02/2021, UNICAMP, Em folha de pagamento
Gerson Zaverucha, PQ-1D, 01/03/2018, 28/02/2022, UFRJ, Em folha de pagamento
Gina Maira Barbosa de Oliveira, PQ-2, 01/03/2019, 28/02/2022, UFU, Em folha de pagamento
Gracaliz Pereira Dimuro, PQ-1D, 01/03/2020, 29/02/2024, FURG, Em folha de pagamento
Guido Costa Souza de Araujo, PQ-1B, 01/03/2018, 28/02/2022, UNICAMP, Em folha de pagamento
Guilherme Horta Travassos, PQ-1D, 01/03/2019, 28/02/2023, UFRJ, Em folha de pagamento
Guilherme Oliveira Mota, PQ-2, 01/03/2018, 28/02/2021, UFABC, Em folha de pagamento
Guilherme Pimentel Telles, PQ-2, 01/03/2019, 28/02/2022, UNICAMP, Em folha de pagamento
Gustavo Bittencourt Figueiredo, PQ-2, 01/03/2018, 28/02/2021, UFBA, Em folha de pagamento
Gustavo Henrique Lima Pinto, PQ-2, 01/03/2020, 28/02/2023, UFPA, Em folha de pagamento
Gustavo Pessin, PQ-2, 01/03/2018, 28/02/2021, ITV, Em folha de pagamento
Haroldo Gambini Santos, PQ-2, 01/03/2020, 28/02/2023, UFOP, Em folha de pagamento
Heder Soares Bernardino, PQ-2, 01/03/2019, 28/02/2022, UFJF, Em folha de pagamento
Heitor Silverio Lopes, PQ-2, 01/03/2020, 28/02/2023, UTFPR, Em folha de pagamento
Heitor Soares Ramos Filho, PQ-2, 01/03/2019, 28/02/2022, UFAL, Em folha de pagamento
Helio Côrtes Vieira Lopes, PQ-2, 01/03/2018, 28/02/2021, PUC-Rio, Em folha de pagamento
Helio Pedrini, PQ-1D, 01/03/2019, 28/02/2023, UNICAMP, Em folha de pagamento
Horacio Antonio Braga Fernandes de Oliveira, PQ-2, 01/03/2019, 28/02/2022, UFAM, Em folha de pagamento
Hyggo Oliveira de Almeida, PQ-2, 01/03/2020, 28/02/2023, UFCG, Em folha de pagamento
Igor Machado Coelho, PQ-2, 01/03/2019, 28/02/2022, UERJ, Em folha de pagamento
Ingrid Oliveira de Nunes, PQ-2, 01/03/2019, 28/02/2022, UFRGS, Em folha de pagamento
Isabel Cristina Mello Rosseti, PQ-2, 01/03/2019, 28/02/2022, UFF, Em folha de pagamento
